weeks,status,group
9,1,P0SL
7.71,0,P0SL
7.71,0,P0SL
7.71,0,P0SL
9.57,1,P0SL
9.29,0,P0SL
9.29,1,P0SL
10.71,1,P0SL
3.86,1,P0SL
4.71,1,P0SL
4.86,1,P0SL
4.86,1,P0SL
4.86,1,P0SL
4.86,1,P0SL
4.86,1,P0SL
5,0,P0SL
5,0,P0SL
5.14,1,P0SL
5.14,1,P0SL
6.57,1,P0SL
6.86,0,P0SL
7,1,P0SL
7,1,P0SL
7.43,1,P0SL
8.57,1,P0SL
19,1,P0SL
14.71429,1,P0SL
15.85714,1,P0SL
8,1,P0SL
13.85714,1,P0SL
13.71429,1,P0SL
6,1,P0SL
7,0,P0SL
11,1,P0SL
11,1,P0SL
11,1,P0SL
13,1,P0SL
15,0,P0SL
16,0,P0SL
16,0,P0SL
16,0,P0SL
16,1,P0SL
22,1,P0SL
10,1,P0SL
19,1,P0SL
12,1,P0SL
12,1,P0SL
13,1,P0SL
12,1,P0SL
14,1,P0SL
22,1,P0SL
16,1,P0SL
16,1,P0SL
16,1,P0SL
16,1,P0SL
17,1,P0SL
17,1,P0SL
17,1,P0SL
17,1,P0SL
25,1,P0SL
17,1,P0SL
22,1,P0SL
21,1,P0SL
26,1,P0SL
21,1,P0SL
19,1,P0SL
21,1,P0SL
8,1,P0SL
8,1,P0SL
4,1,F2
4,1,F2
5.428571,1,F2
2.142857,1,F2
5.428571,1,F2
12.14286,1,F2
5.571429,1,F2
23.14286,1,F2
17.71428,1,F2
53.42857,1,F2
41.85714,1,F2
49.14286,1,F2
39.42857,1,F2
14.28571,1,F2
25.85714,1,F2
12.85714,1,F2
12.85714,1,F2
7,1,F2
21.85714,1,F2
9.142858,1,F2
32.57143,1,F2
20.28572,1,F2
14.28571,1,F2
9.285714,0,F2
9.285714,0,F2
14.42857,1,F2
42.42857,1,F2
52,1,F2
40.42857,1,F2
50.57143,1,F2
50.14286,1,F2
14.42857,1,F2
7.285714,1,F2
15.57143,1,F2
15.42857,1,F2
41.85714,1,F2
45,1,F2
50.14286,1,F2
52.14286,1,F2
39.42857,1,F2
64.42857,1,F2
73.85714,1,F2
57,1,F2
70.28571,1,F2
41.28571,1,F2
62.71429,1,F2
34.28571,1,F2
70.14286,1,F2
51.14286,1,F2
12.14286,1,F2
35,1,F2
23.42857,1,F2
25.71428,1,F2
52.28571,1,F2
16.28572,1,F2
42.42857,1,F2
46,1,F2
12.14286,1,F2
40.42857,1,F2
42.42857,1,F2
61.28571,1,F2
50.42857,1,F2
36.14286,1,F2
37.71429,1,F2
6,1,F2
9.857142,1,F2
7.857143,1,F2
15.85714,1,F2
21.85714,1,F2
31.14286,1,F2
39.71429,1,F2
39.71429,1,F2
48.28571,1,F2
49.14286,1,F2
42.28571,1,F2
9.285714,1,F2
5,1,F2
2.714286,1,F2
4,1,F2
5.285714,1,F2
6.428571,1,F2
3.428571,1,F2
11.42857,1,F2
51.71429,1,F2
29.85714,1,F2
21.42857,0,F2
42.14286,1,F2
26.42857,1,F2
6.571429,1,F2
13.42857,1,F2
23.28572,1,F2
17.14286,0,F2
59.85714,1,F2
43.57143,1,F2
48.42857,1,F2
38.57143,1,F2
45.57143,1,F2
29.85714,1,F2
48.57143,1,F2
61.57143,1,F2
40.57143,1,F2
32.85714,1,F2
46.71429,1,F2
12.14286,1,F2
22,0,F2
61.71429,1,F2
39.42857,1,F2
47.85714,1,F2
26.28572,1,F2
14.14286,1,F2
16.14286,1,F2
10.57143,1,F2
15,1,F2
52,1,F2
11.85714,1,F2
11.28571,0,F2
40.57143,1,F2
41.28571,1,F2
5.428571,1,F2
17.14286,1,F2
40.71429,1,F2
36.42857,1,F2
11,1,F2
22,1,F2
26.85714,1,F2
21.57143,1,F2
10.57143,1,F2
14.71429,1,F2
55.57143,1,F2
34.28571,1,F2
28.57143,1,F1
1.857143,1,F1
35.28571,1,F1
28.57143,1,F1
43.42857,1,F1
42.57143,1,F1
43.42857,1,F1
43.42857,1,F1
43.42857,1,F1
42,1,P0LL
36,1,P0LL
9,1,P0LL
7,0,P0LL
21,1,P0LL
4,0,P0LL
3,0,P0LL
9.714286,1,P0LL
