weeks,status,group
19.00,1,P0SL
21.00,1,P0SL
8.00,1,P0SL
8.00,1,P0SL
9.00,1,P0SL
7.71,0,P0SL
7.71,0,P0SL
7.71,0,P0SL
9.57,1,P0SL
9.29,0,P0SL
9.29,1,P0SL
10.71,1,P0SL
3.86,1,P0SL
4.71,1,P0SL
4.86,1,P0SL
4.86,1,P0SL
4.86,1,P0SL
4.86,1,P0SL
4.86,1,P0SL
5.00,0,P0SL
5.00,0,P0SL
5.14,1,P0SL
5.14,1,P0SL
6.57,1,P0SL
6.86,0,P0SL
7.00,1,P0SL
7.00,1,P0SL
7.43,1,P0SL
8.57,1,P0SL
19.00,1,P0SL
14.71,1,P0SL
15.86,1,P0SL
8.00,1,P0SL
13.86,1,P0SL
13.71,1,P0SL
6.00,1,P0SL
7.00,0,P0SL
11.00,1,P0SL
11.00,1,P0SL
11.00,1,P0SL
13.00,1,P0SL
15.00,0,P0SL
16.00,0,P0SL
16.00,0,P0SL
16.00,0,P0SL
16.00,1,P0SL
22.00,1,P0SL
10.00,1,P0SL
19.00,1,P0SL
12.00,1,P0SL
12.00,1,P0SL
13.00,1,P0SL
12.00,1,P0SL
14.00,1,P0SL
22.00,1,P0SL
16.00,1,P0SL
16.00,1,P0SL
16.00,1,P0SL
16.00,1,P0SL
17.00,1,P0SL
17.00,1,P0SL
17.00,1,P0SL
17.00,1,P0SL
25.00,1,P0SL
17.00,1,P0SL
22.00,1,P0SL
21.00,1,P0SL
26.00,1,P0SL
21.00,1,P0SL
12.00,1,P0LL
37.00,1,P0LL
25.00,1,P0LL
54.00,1,P0LL
40.00,1,P0LL
57.00,1,P0LL
22.00,1,P0LL
23.00,1,P0LL
20.00,1,P0LL
31.00,1,P0LL
35.00,1,P0LL
32.71,1,P0SL
42.00,1,P0LL
54.29,1,P0LL
60.29,1,P0LL
7.29,1,P0LL
9.43,1,P0SL
9.43,1,P0SL
9.43,1,P0SL
9.43,1,P0SL
9.00,1,P0SL
30.71,1,P0LL
34.57,1,P0LL
12.14,1,P0SL
31.43,1,P0SL
41.00,1,P0LL
10.00,1,P0LL
5.00,1,P0LL
9.00,1,P0LL
23.00,1,P0LL
12.00,1,P0LL
28.00,1,P0LL
42.00,1,P0LL
25.00,1,P0LL
31.00,1,P0LL
35.00,1,P0LL
5.00,1,P0LL
50.00,1,F1
38.00,1,F1
33.00,1,F1
18.00,1,F1
40.00,1,F1
10.00,1,F1
7.00,0,F1
29.00,1,F1
33.00,1,F1
30.00,0,F1
4.00,0,F1
11.00,1,F1
40.00,1,F1
30.00,1,F1
8.00,1,F1
19.00,1,F1
53.00,1,F1
31.00,1,F1
44.00,1,F1
17.00,1,F1
25.00,0,F1
38.00,1,F1
45.00,1,F1
50.00,1,F1
54.00,1,F1
26.00,1,F1
49.00,1,F1
37.00,1,F1
42.00,1,F1
51.00,1,F1
42.00,1,F1
47.00,1,F1
37.00,1,F1
47.00,1,F1
62.00,1,F1
49.00,1,F1
64.00,1,F1
10.00,1,F2
6.00,0,F2
3.00,1,F2
7.00,1,F2
4.00,1,F2
4.00,0,F2
3.00,1,F2
3.00,1,F2
17.00,1,F2
4.00,0,F2
9.00,1,F2
1.00,0,F2
9.00,1,F2
3.00,1,F2
41.00,1,F2
6.00,0,F2
6.00,1,F2
4.00,1,F2
4.00,1,F2
9.00,1,F2
7.00,1,F2
3.00,1,F2
3.00,1,F2
17.00,1,F2
4.00,1,F2
31.00,1,F2
4.00,1,F2
39.00,1,F2
34.00,1,F2
7.00,1,F2
3.00,0,F2
9.00,0,F2
2.00,0,F2
4.00,1,F2
6.00,1,F2
4.00,0,F2
4.00,0,F2
7.00,1,F2
4.00,1,F2
5.00,1,F2
5.00,1,F2
7.00,0,F2
6.00,1,F2
7.00,0,F2
4.00,0,F2
4.00,0,F2
4.00,0,F2
3.00,1,F2
4.00,0,F2
11.00,1,F2
13.00,1,F2
11.00,1,F2
14.00,1,F2
11.00,1,F2
16.00,1,F2
44.00,1,F2
10.00,1,F2
8.00,1,F2
15.00,1,F2
11.00,1,F2
15.00,1,F2
11.00,1,F2
12.00,1,F2
13.00,1,F2
4.00,1,F2
3.00,1,F2
10.00,0,F2
3.00,1,F2
4.00,1,F2
4.00,0,F2
54.00,1,F2
8.00,1,F2
22.00,1,F2
4.00,0,F2
17.00,1,F2
15.00,1,F2
16.00,1,F2
27.00,1,F2
20.00,1,F2
30.00,1,F2
5.00,1,F2
5.00,1,F2
15.00,0,F2
25.00,1,F2
46.00,1,F2
5.00,0,F2
18.00,1,F2
6.00,1,F2
28.00,1,F2
5.00,1,F2
47.00,1,F2
16.00,1,F2
29.00,1,F2
12.00,1,F2
30.00,1,F2
7.00,1,F2
33.00,1,F2
14.00,1,F2
9.00,1,F2
5.00,1,F2
34.00,1,F2
29.00,1,F2
23.00,1,F2
28.00,1,F2
5.00,0,F2
32.00,1,F2
5.00,1,F2
7.00,1,F2
12.00,1,F2
27.00,1,F2
27.00,1,F2
25.00,1,F2
52.00,1,F2
27.00,1,F2
5.00,1,F2
35.00,1,F2
26.00,1,F2
15.00,1,F2
12.00,0,F2
28.00,1,F2
25.00,1,F2
35.00,1,F2
9.00,1,F2
28.00,1,F2
29.00,1,F2
16.00,1,F2
8.00,1,F2
8.00,1,F2
31.00,1,F2
30.00,1,F2
13.00,1,F2
22.00,1,F2
10.00,1,F2
8.00,1,F2
15.00,1,F2
9.00,1,F2
4.00,1,F2
4.00,1,F2
15.00,1,F2
39.00,1,F2
28.00,1,F2
42.00,1,F2
32.00,1,F2
12.00,1,F2
27.00,1,F2
35.00,1,F2
30.00,1,F2
32.00,1,F2
24.00,1,F2
13.00,1,F2
36.00,1,F2
30.00,1,F2
33.00,1,F2
6.00,1,F2
7.00,1,F2
31.00,1,F2
38.00,1,F2
27.00,1,F2
28.00,1,F2
44.00,1,F2
33.00,1,F2
30.00,1,F2
13.00,1,F2
22.00,1,F2
31.00,1,F2
15.00,1,F2
44.00,1,F2
33.00,1,F2
31.00,1,F2
33.00,1,F2
9.00,1,F2
28.00,1,F2
18.00,1,F2
20.00,1,F2
38.00,1,F2
38.00,1,F2
34.00,1,F2
35.00,1,F2
4.00,1,F2
33.00,1,F2
15.00,1,F2
39.00,1,F2
35.00,1,F2
34.00,1,F2
39.00,1,F2
10.00,1,F2
37.00,1,F2
35.00,1,F2
34.00,1,F2
40.00,1,F2
11.00,1,F2
42.00,1,F2
18.00,1,F2
21.00,1,F2
40.00,1,F2
45.00,1,F2
30.00,1,F2
10.00,1,F2
41.00,1,F2
41.00,1,F2
36.00,1,F2
26.00,1,F2
17.00,1,F2
16.00,1,F2
33.00,1,F2
27.00,1,F2
48.00,1,F2
38.00,1,F2
40.00,1,F2
36.00,1,F2
4.00,1,F2
4.00,1,F2
18.00,1,F2
12.00,1,F2
18.00,1,F2
39.00,1,F2
37.00,1,F2
37.00,1,F2
23.00,1,F2
39.00,1,F2
19.00,1,F2
50.00,1,F2
37.00,1,F2
4.00,0,F2
38.00,1,F2
38.00,1,F2
38.00,1,F2
19.00,1,F2
39.00,1,F2
39.00,1,F2
36.00,1,F2
48.00,1,F2
29.00,1,F2
24.00,1,F2
38.00,1,F2
24.00,1,F2
47.00,1,F2
44.00,1,F2
25.00,1,F2
48.00,1,F2
30.00,1,F2
43.00,1,F2
16.00,1,F2
44.00,1,F2
37.00,1,F2
17.00,1,F2
43.00,1,F2
41.00,1,F2
50.00,1,F2
45.00,1,F2
29.00,1,F2
42.00,1,F2
45.00,1,F2
50.00,1,F2
50.00,1,F2
50.00,1,F2
48.00,1,F2
36.00,1,F2
49.00,1,F2
26.00,1,F2
50.00,1,F2
19.00,1,F2
44.00,1,F2
20.00,1,F2
41.00,1,F2
44.00,1,F2
44.00,1,F2
47.00,1,F2
27.00,1,F2
22.00,1,F2
50.00,1,F2
35.00,1,F2
57.00,1,F2
46.00,1,F2
48.00,1,F2
60.00,1,F2
54.00,1,F2
34.00,1,F2
34.00,1,F2
8.00,1,F2
38.00,1,F2
12.00,1,F2
23.00,1,F2
14.00,1,F2
25.00,1,F2
51.00,1,F2
49.00,1,F2
35.00,1,F2
35.00,1,F2
44.00,1,F2
28.00,1,F2
42.00,1,F2
67.00,1,F2
52.00,1,F2
5.00,1,F2
46.00,1,F2
49.00,1,F2
57.00,1,F2
36.00,1,F2
38.00,1,F2
9.00,1,F2
42.00,1,F2
36.00,1,F2
58.00,1,F2
45.00,1,F2
13.00,1,F2
46.00,1,F2
50.00,1,F2
35.00,1,F2
51.00,1,F2
48.00,1,F2
41.00,1,F2
18.00,1,F2
24.00,1,F2
40.00,1,F2
43.00,1,F2
50.00,1,F2
15.00,1,F2
16.00,1,F2
46.00,1,F2
40.00,1,F2
53.00,1,F2
55.00,1,F2
5.00,1,F2
55.00,1,F2
41.00,1,F2
46.00,1,F2
62.00,1,F2
59.00,1,F2
11.00,1,F2
2.00,1,F2
48.00,1,F2
43.00,1,F2
44.00,1,F2
3.00,1,F2
46.00,1,F2
47.00,1,F2
58.00,1,F2
54.00,1,F2
9.00,1,F2
31.00,1,F2
48.00,1,F2
63.00,1,F2
26.00,1,F2
37.00,1,F2
41.00,1,F2
23.00,1,F2
44.00,1,F2
43.00,1,F2
52.00,1,F2
50.00,1,F2
5.00,1,F2
62.00,1,F2
62.29,1,F2
45.14,1,F2
26.43,1,F2
26.71,1,F2
50.43,1,F2
54.14,1,F2
64.71,1,F2
16.14,1,F2
64.57,1,F2
51.00,1,F2
26.14,1,F2
28.43,1,F2
54.29,1,F2
54.57,1,F2
20.00,1,F2
47.57,1,F2
45.00,1,F2
49.14,1,F2
22.00,1,F2
9.14,0,F2
25.00,0,F2
23.14,0,F2
23.14,0,F2
10.29,0,F2
45.14,0,F2
24.14,0,F2
24.14,0,F2
46.14,0,F2
31.14,0,F2
31.14,0,F2
18.14,0,F2
18.14,0,F2
41.86,0,F2
46.14,0,F2
19.14,0,F2
34.14,0,F2
37.86,0,F2
47.00,0,F2
26.29,0,F2
60.00,0,F2
21.00,0,F2
47.00,0,F2
50.14,0,F2
26.29,0,F2
20.14,0,F2
36.14,0,F2
36.14,0,F2
21.00,0,F2
21.00,0,F2
21.00,0,F2
21.00,0,F2
21.00,0,F2
21.00,0,F2
21.00,0,F2
22.29,0,F2
22.29,0,F2
22.29,0,F2
22.29,0,F2
31.14,0,F2
31.14,0,F2
17.00,0,F2
21.00,0,F2
22.29,0,F2
39.14,0,F2
21.00,0,F2
55.86,0,F2
20.14,0,F2
89.43,0,F2
42.00,0,F2
13.00,0,F2
14.14,0,F2
14.14,0,F2
42.00,0,F2
69.14,0,F2
65.14,0,F2
46.14,0,F2
22.29,0,F2
