individual	sex	days	col	bl	weight	melanoma	weightM	weightF	weightRes	daysM	daysF	daysRes
G_F04	2	229	NA	NA	0.95	NA	NA	0.95	0.145892857142833	NA	229	-15.4821428571447
G_M03	1	294	1	1	2.36	0	2.36	NA	0.723008849557531	294	NA	21.5398230088499
G038	1	238	0	0	0.67	0	0.67	NA	-0.966991150442478	238	NA	-34.4601769911504
G083	1	305	0	0	1.48	0	1.48	NA	-0.156991150442478	305	NA	32.5398230088496
G102	1	380	0	0	1.21	0	1.21	NA	-0.426991150442478	380	NA	107.53982300885
G105	2	151	NA	NA	1.32	NA	NA	1.32	0.515892857142858	NA	151	-93.4821428571428
G206	1	306	0	0	1.89	0	1.89	NA	0.253008849557522	306	NA	33.5398230088496
G192	2	231	NA	1	1.32	NA	NA	1.32	0.515892857142858	NA	231	-13.4821428571428
G219	1	233	0	0	1.42	0	1.42	NA	-0.216991150442478	233	NA	-39.4601769911504
G241	1	250	0	0	1.94	0	1.94	NA	0.303008849557522	250	NA	-22.4601769911504
G256	2	275	NA	1	1.09	NA	NA	1.09	0.285892857142858	NA	275	30.5178571428572
G288	1	302	1	0	1.78	0	1.78	NA	0.143008849557522	302	NA	29.5398230088496
G306	2	290	NA	1	1.58	NA	NA	1.58	0.775892857142858	NA	290	45.5178571428572
G352	1	360	0	0	1.62	0	1.62	NA	-0.0169911504424779	360	NA	87.5398230088496
G358	2	304	NA	1	0.71	NA	NA	0.71	-0.0941071428571425	NA	304	59.5178571428572
G364	1	372	0	0	2.01	1	2.01	NA	0.373008849557522	372	NA	99.5398230088496
G107	1	118	1	1	2.43	0	2.43	NA	0.793008849557522	118	NA	-154.46017699115
G245	1	233	1	1	0.7	0	0.7	NA	-0.936991150442478	233	NA	-39.4601769911504
G136	1	235	1	1	2.72	0	2.72	NA	1.08300884955752	235	NA	-37.4601769911504
G178	1	273	0	0	3.66	0	3.66	NA	2.02300884955752	273	NA	0.539823008849555
G322	1	266	1	1	1.15	0	1.15	NA	-0.486991150442478	266	NA	-6.46017699115045
G388	2	284	NA	1	0.6	NA	NA	0.6	-0.204107142857142	NA	284	39.5178571428572
G393	2	347	NA	NA	0.59	NA	NA	0.59	-0.214107142857142	NA	347	102.517857142857
G404	1	452	0	0	1.76	1	1.76	NA	0.123008849557522	452	NA	179.53982300885
G144	1	82	0	0	0.36	0	0.36	NA	-1.27699115044248	82	NA	-190.46017699115
G157	2	258	NA	NA	1.01	NA	NA	1.01	0.205892857142858	NA	258	13.5178571428572
G258	1	341	0	0	2.89	0	2.89	NA	1.25300884955752	341	NA	68.5398230088496
G179	2	193	NA	1	0.41	NA	NA	0.41	-0.394107142857143	NA	193	-51.4821428571428
G183	1	81	1	1	1.08	0	1.08	NA	-0.556991150442478	81	NA	-191.46017699115
G184	2	190	NA	1	0.84	NA	NA	0.84	0.0358928571428575	NA	190	-54.4821428571428
G190	2	251	NA	1	0.45	NA	NA	0.45	-0.354107142857143	NA	251	6.51785714285716
G208	1	218	0	0	0.71	0	0.71	NA	-0.926991150442478	218	NA	-54.4601769911504
G220	1	107	1	1	0.84	0	0.84	NA	-0.796991150442478	107	NA	-165.46017699115
G237	2	208	NA	1	0.65	NA	NA	0.65	-0.154107142857142	NA	208	-36.4821428571428
