	sex	days	col	bl	weight	melanoma	weightM	weightF	weightRes	daysM	daysF	daysRes
X8563	1	1	1	1	1	1	1	1	1	1	1	1
X40637	1	1	1	1	1	1	1	1	1	1	1	0.96675646238532
X10309	1	1	1	1	1	1	1	1	1	1	1	0.974443667136814
X16553	1	1	1	1	1	1	1	1	1	1	1	1
X42291	1	0.224757818181812	1	1	1	1	1	1	1	0.45923798473283	1	0.306984884792635
X17050	1	1	1	1	1	1	1	1	1	1	1	1
X4628	1	1	0.779085032350827	1	1	1	1	1	1	1	1	1
X40392	1	1	1	1	1	1	1	1	1	1	1	1
X47765	1	1	1	1	1	1	1	1	1	1	1	1
X39513	1	1	1	1	1	1	1	1	1	1	1	1
X43350	1	1	1	1	1	1	1	1	1	1	1	1
X33919	1	1	1	1	1	1	1	1	1	1	1	1
X20226	1	1	1	1	1	1	1	1	1	1	1	1
X28005	1	1	1	0.957040251374704	1	0.0875282352941304	1	1	1	1	1	1
X48405	0.670376063618294	1	1	0.698633011828933	1	1	1	1	1	1	1	1
X34821	1	1	1	1	1	1	1	1	1	1	0.654785344129554	1
X36581	1	1	1	1	1	1	1	1	1	1	1	1
X35717	1	1	1	1	1	1	1	1	1	1	1	1
X46158	1	1	1	1	1	1	1	1	1	1	1	1
X52979	1	1	1	1	1	1	1	1	1	1	1	1
X32449	1	1	1	1	1	1	1	1	1	1	1	1
X31359	1	1	1	1	1	1	0.779804903225805	1	0.839009535160904	1	1	1
X28034	1	1	1	1	1	1	1	1	1	1	1	1
X42267	1	1	1	1	1	1	1	1	0.761264590405906	1	1	1
X2699	1	1	0.948679176276771	1	1	1	1	1	1	1	1	1
X55137	1	1	1	1	1	1	1	1	1	1	1	1
X49659	1	1	1	1	1	1	1	1	1	1	1	1
X32182	1	1	1	1	1	1	1	1	1	1	1	1
X8193	1	1	1	1	1	1	1	1	1	1	1	1
X24290	1	1	1	1	1	1	1	1	1	1	1	1
X15995	1	1	1	1	1	1	1	1	1	1	1	1
X46758	1	1	1	1	1	1	1	1	1	1	1	1
X26279	1	1	1	1	1	1	1	1	1	1	1	1
X20459	1	1	1	1	1	1	1	1	1	1	1	1
X4066	1	1	1	1	1	1	1	1	1	1	1	1
X51964	1	1	1	1	1	1	1	1	1	1	1	1
X29815	1	1	1	1	1	1	1	1	1	1	1	1
X39906	1	1	1	1	1	1	1	1	1	1	1	1
X28740	1	1	1	1	1	1	1	1	1	1	1	1
X45702	1	1	1	1	1	1	1	1	1	1	1	1
X50642	1	1	1	1	1	1	1	1	1	1	1	1
X29527	1	1	1	1	1	1	1	1	1	1	1	1
X42749	1	1	1	1	1	1	0.974505894811155	1	1	1	1	1
X6375	1	1	1	1	1	1	1	1	1	0.935619754756872	1	1
X46694	1	0.807275303225807	1	1	1	1	1	1	1	1	1	1
X37051	1	1	1	1	1	1	1	1	1	1	1	1
X19071	1	1	1	1	1	1	1	1	1	1	1	1
X35267	1	1	1	1	1	1	1	1	1	1	0.913977992565056	1
X52851	0.0962747663551296	1	1	1	1	1	1	1	1	1	1	1
X6631	1	1	1	1	1	1	1	1	1	1	1	1
X29849	1	1	1	1	1	1	1	1	1	1	1	1
X28348	1	1	1	1	1	1	1	1	1	1	1	1
X13366	1	1	1	1	1	1	1	1	1	1	1	1
X47517	1	1	1	1	1	1	1	1	1	1	1	1
X23171	1	1	1	1	1	1	1	1	1	1	1	1
X14880	1	1	1	1	1	1	1	1	1	1	1	1
X5970	1	1	1	1	1	1	1	1	1	1	1	1
X3540	1	1	1	1	1	1	1	1	1	1	1	1
X13581	1	1	1	1	1	1	1	1	1	1	0.69368425297892	1
X5433	1	1	1	1	1	1	1	1	1	1	1	1
X30424	1	1	0.965740340993328	1	1	1	1	1	1	1	1	1
X18339	1	1	1	1	1	1	1	1	1	1	1	1
X40442	1	1	1	1	1	1	1	1	1	1	1	1
X53980	1	1	1	0.0127177777777778	1	1	1	1	1	1	1	1
X29918	1	1	1	1	1	1	1	1	1	1	1	1
X50654	1	1	1	1	1	1	1	1	1	1	1	1
X49660	1	1	1	1	1	1	1	1	1	1	1	1
X8806	1	0.60320287369641	1	1	1	1	1	1	1	1	1	0.606427981651379
X15026	0.117898712446339	1	0.254919224376733	0.0555759537572369	1	1	1	1	0.816571777916405	1	1	1
X6101	1	1	1	1	1	1	1	1	1	1	1	1
X10238	1	1	1	1	1	1	1	1	1	1	1	1
X44249	1	1	1	1	1	1	1	1	1	1	1	1
X48459	1	1	1	1	1	1	1	1	1	0.714087820069206	1	1
X51058	1	0.739587692307694	1	1	1	1	1	1	1	0.74090735362998	1	0.819024888888889
X34662	1	1	1	1	1	1	1	1	1	1	1	1
X28181	1	0.921491205802356	1	1	1	1	1	1	1	1	1	0.915042339832867
X23318	1	1	1	1	1	1	1	1	0.913977992565056	1	1	1
X32517	1	0.915467643784786	1	1	1	1	1	1	1	0.866183783783785	1	0.952359333062221
X581	1	1	1	1	1	1	1	1	1	1	1	1
X3862	1	1	1	1	1	1	1	1	1	1	1	1
X28725	1	1	1	1	1	1	1	1	1	1	1	1
X27827	1	1	1	1	1	1	1	1	1	1	0.933013368146215	1
X1975	1	1	1	1	1	1	1	1	1	1	1	1
X51661	1	1	1	1	1	1	1	1	1	1	1	1
X33389	1	1	1	1	1	1	1	1	1	1	1	1
X6797	1	1	1	1	1	1	1	1	1	1	1	1
X45005	1	1	1	1	1	1	1	1	1	1	1	1
X39249	1	1	1	1	1	1	1	1	1	1	1	1
X43347	1	1	1	1	1	1	1	1	1	0.925996358720143	1	1
X8711	1	1	1	1	1	1	0.982345216216217	1	1	1	1	1
